month,year,month_num,region,category,segment,revenue,total_orders,total_units,pcogs,pcogs_pct,ops,total_discount_given,avg_discount_pct,total_profit,total_sales,profit_margin_pct,conversion_rate,successful_orders
2014-01,2014,1,South,Furniture,Corporate,193.9,2,3.0,132.85,68.51,193.9,0.0,0.0,61.04,193.9,31.48,100.0,2
2014-01,2014,1,South,Furniture,Home Office,2573.82,1,9.0,1827.41,71.0,2573.82,0.0,0.0,746.41,2573.82,29.0,100.0,1
2014-01,2014,1,South,Office Supplies,Consumer,19.36,1,2.0,10.07,52.01,19.36,0.0,0.0,9.29,19.36,48.0,100.0,1
2014-01,2014,1,South,Office Supplies,Corporate,654.09,3,17.0,579.84,88.65,654.09,0.0,0.0,74.25,654.09,11.35,100.0,3
2014-01,2014,1,South,Office Supplies,Home Office,653.12,1,9.0,373.83,57.24,653.12,0.0,0.0,279.29,653.12,42.76,100.0,1
2014-01,2014,1,South,Technology,Consumer,149.95,1,5.0,83.97,56.0,149.95,0.0,0.0,65.98,149.95,44.0,100.0,1
2014-01,2014,1,South,Technology,Corporate,646.74,1,6.0,388.04,60.0,646.74,0.0,0.0,258.7,646.74,40.0,100.0,1
2014-01,2014,1,South,Technology,Home Office,1147.94,1,6.0,830.16,72.32,1147.94,0.0,0.0,317.78,1147.94,27.68,100.0,1
2014-01,2014,1,West,Furniture,Consumer,852.03,5,17.0,1041.28,122.21,1013.31,161.29,19.17,-27.95,1013.31,-2.76,60.0,3
2014-01,2014,1,West,Furniture,Corporate,30.98,1,4.0,115.25,372.01,61.96,30.98,50.0,-53.29,61.96,-86.0,0.0,0
2014-01,2014,1,West,Office Supplies,Consumer,566.11,6,48.0,422.01,74.55,609.9,43.79,15.38,187.89,609.9,30.81,83.33,5
2014-02,2014,2,Central,Furniture,Consumer,10.06,1,5.0,36.48,362.62,25.16,15.1,60.0,-11.32,25.16,-45.0,0.0,0
2014-02,2014,2,Central,Furniture,Corporate,20.32,1,4.0,13.41,65.99,20.32,0.0,0.0,6.91,20.32,34.0,100.0,1
2014-02,2014,2,Central,Office Supplies,Consumer,36.81,3,12.0,50.86,138.17,47.94,11.12,45.0,-2.92,47.94,-6.1,66.67,2
2014-02,2014,2,Central,Office Supplies,Corporate,17.09,1,5.0,14.15,82.8,21.36,4.27,20.0,7.21,21.36,33.75,100.0,1
2014-02,2014,2,Central,Technology,Consumer,468.9,1,6.0,262.58,56.0,468.9,0.0,0.0,206.32,468.9,44.0,100.0,1
2014-02,2014,2,Central,Technology,Corporate,62.31,1,3.0,39.88,64.0,62.31,0.0,0.0,22.43,62.31,36.0,100.0,1
2014-02,2014,2,East,Furniture,Consumer,393.83,1,4.0,325.34,82.61,393.83,0.0,0.0,68.49,393.83,17.39,100.0,1
2014-02,2014,2,East,Furniture,Home Office,14.56,1,2.0,9.03,62.02,14.56,0.0,0.0,5.53,14.56,38.0,100.0,1
2014-02,2014,2,East,Office Supplies,Consumer,199.54,4,29.0,182.38,91.4,220.78,21.24,17.14,38.4,220.78,17.39,75.0,3
2014-02,2014,2,East,Office Supplies,Corporate,13.8,1,2.0,11.21,81.23,17.25,3.45,20.0,6.04,17.25,35.0,100.0,1
2014-02,2014,2,East,Office Supplies,Home Office,19.4,2,8.0,22.63,116.65,24.32,4.93,33.33,1.7,24.32,6.98,100.0,2
2014-02,2014,2,East,Technology,Corporate,115.36,1,7.0,65.76,57.0,115.36,0.0,0.0,49.6,115.36,43.0,100.0,1
2014-02,2014,2,South,Furniture,Consumer,1256.22,1,6.0,1180.85,94.0,1256.22,0.0,0.0,75.37,1256.22,6.0,100.0,1
2014-02,2014,2,South,Office Supplies,Consumer,62.0,2,9.0,46.13,74.4,73.13,11.13,13.33,27.0,73.13,36.91,100.0,2
2014-02,2014,2,South,Office Supplies,Corporate,79.96,2,8.0,63.02,78.81,79.96,0.0,0.0,16.94,79.96,21.19,100.0,2
2014-02,2014,2,South,Technology,Consumer,234.45,1,3.0,131.29,56.0,234.45,0.0,0.0,103.16,234.45,44.0,100.0,1
2014-02,2014,2,South,Technology,Corporate,306.56,1,6.0,222.5,72.58,306.56,0.0,0.0,84.05,306.56,27.42,100.0,1
2014-02,2014,2,West,Furniture,Consumer,103.65,1,2.0,153.86,148.44,129.57,25.91,20.0,-24.29,129.57,-18.75,0.0,0
2014-02,2014,2,West,Office Supplies,Consumer,95.06,4,14.0,133.83,140.78,136.92,41.86,42.0,3.1,136.92,2.26,25.0,1
2014-02,2014,2,West,Office Supplies,Corporate,320.58,1,4.0,292.86,91.35,320.58,0.0,0.0,27.72,320.58,8.65,100.0,1
2014-02,2014,2,West,Office Supplies,Home Office,112.91,2,12.0,78.58,69.6,129.49,16.58,6.67,50.91,129.49,39.32,100.0,2
2014-02,2014,2,West,Technology,Consumer,144.77,1,5.0,167.39,115.62,180.96,36.19,20.0,13.57,180.96,7.5,100.0,1
2014-02,2014,2,West,Technology,Corporate,239.97,1,3.0,153.58,64.0,239.97,0.0,0.0,86.39,239.97,36.0,100.0,1
2014-03,2014,3,Central,Furniture,Corporate,754.61,2,14.0,860.39,114.02,943.28,188.66,20.0,82.89,943.28,8.79,100.0,2
2014-03,2014,3,Central,Furniture,Home Office,443.88,1,6.0,806.23,181.63,634.12,190.23,30.0,-172.12,634.12,-27.14,0.0,0
2014-03,2014,3,Central,Office Supplies,Consumer,1498.27,8,36.0,1859.22,124.09,1780.91,282.64,16.36,-78.28,1780.91,-4.4,75.0,6
2014-03,2014,3,Central,Office Supplies,Corporate,440.78,6,40.0,440.8,100.0,497.88,57.1,15.0,57.07,497.88,11.46,100.0,6
2014-03,2014,3,Central,Office Supplies,Home Office,93.58,3,11.0,76.79,82.06,116.98,23.4,20.0,40.19,116.98,34.36,100.0,3
2014-03,2014,3,Central,Technology,Consumer,593.27,3,12.0,662.5,111.67,730.22,136.95,13.33,67.71,730.22,9.27,100.0,3
2014-03,2014,3,Central,Technology,Corporate,516.33,2,8.0,531.74,102.98,645.42,129.08,20.0,113.68,645.42,17.61,100.0,2
2014-03,2014,3,Central,Technology,Home Office,402.44,1,2.0,418.86,104.08,574.91,172.47,30.0,156.05,574.91,27.14,100.0,1
2014-03,2014,3,East,Furniture,Consumer,1135.18,4,17.0,1568.93,138.21,1471.61,336.44,18.75,-97.32,1471.61,-6.61,50.0,2
2014-03,2014,3,East,Furniture,Corporate,1959.14,1,14.0,4389.25,224.04,3265.23,1306.09,40.0,-1124.02,3265.23,-34.42,0.0,0
2014-03,2014,3,East,Furniture,Home Office,200.11,2,9.0,232.97,116.42,238.3,38.19,15.0,5.34,238.3,2.24,50.0,1
2014-03,2014,3,East,Office Supplies,Consumer,854.83,7,42.0,921.51,107.8,1020.46,165.64,14.29,98.93,1020.46,9.69,100.0,7
2014-03,2014,3,East,Office Supplies,Corporate,482.06,5,35.0,302.84,62.82,485.31,3.25,1.67,182.48,485.31,37.6,80.0,4
2014-03,2014,3,East,Office Supplies,Home Office,2331.76,4,22.0,1919.53,82.32,2450.64,118.89,16.0,531.11,2450.64,21.67,100.0,4
2014-03,2014,3,East,Technology,Consumer,479.97,1,3.0,302.38,63.0,479.97,0.0,0.0,177.59,479.97,37.0,100.0,1
2014-03,2014,3,East,Technology,Corporate,687.23,2,8.0,499.81,72.73,687.23,0.0,0.0,187.42,687.23,27.27,100.0,2
2014-03,2014,3,East,Technology,Home Office,1477.42,4,15.0,1312.83,88.86,1844.28,366.86,15.0,531.44,1844.28,28.82,100.0,4
2014-03,2014,3,South,Furniture,Consumer,537.64,2,6.0,690.4,128.41,672.05,134.41,20.0,-18.35,672.05,-2.73,50.0,1
2014-03,2014,3,South,Furniture,Home Office,122.49,1,5.0,129.75,105.93,153.12,30.62,20.0,23.37,153.12,15.26,100.0,1
2014-03,2014,3,South,Office Supplies,Consumer,309.29,5,31.0,438.49,141.77,444.78,135.49,37.78,6.29,444.78,1.41,80.0,4
2014-03,2014,3,South,Office Supplies,Home Office,38.66,1,10.0,33.92,87.74,48.33,9.67,20.0,14.4,48.33,29.8,100.0,1
2014-03,2014,3,South,Technology,Home Office,11729.89,1,10.0,25287.29,215.58,23459.78,11729.89,50.0,-1827.5,23459.78,-7.79,0.0,0
2014-03,2014,3,West,Furniture,Consumer,3274.23,8,37.0,3716.29,113.5,3910.61,636.38,22.0,194.32,3910.61,4.97,75.0,6
2014-03,2014,3,West,Furniture,Corporate,402.7,2,8.0,851.79,211.52,616.8,214.1,35.0,-234.98,616.8,-38.1,0.0,0
2014-03,2014,3,West,Furniture,Home Office,2356.85,3,15.0,2456.62,104.23,2668.84,311.98,18.33,212.22,2668.84,7.95,66.67,2
2014-03,2014,3,West,Office Supplies,Consumer,1174.51,13,100.0,1036.13,88.22,1275.89,101.38,13.04,239.76,1275.89,18.79,84.62,11
2014-03,2014,3,West,Office Supplies,Corporate,403.22,5,36.0,281.3,69.76,436.94,33.72,15.0,155.65,436.94,35.62,80.0,4
2014-03,2014,3,West,Office Supplies,Home Office,47.76,1,7.0,24.95,52.24,47.76,0.0,0.0,22.81,47.76,47.76,100.0,1
2014-03,2014,3,West,Technology,Consumer,82.8,1,12.0,76.18,92.0,82.8,0.0,0.0,6.62,82.8,8.0,100.0,1
2014-03,2014,3,West,Technology,Corporate,3522.96,2,9.0,2615.86,74.25,3528.71,5.76,10.0,912.86,3528.71,25.87,100.0,2
2014-03,2014,3,West,Technology,Home Office,383.48,2,5.0,446.76,116.5,477.86,94.38,10.0,31.1,477.86,6.51,100.0,2
2014-04,2014,4,Central,Furniture,Corporate,449.27,1,2.0,491.39,109.38,561.58,112.32,20.0,70.2,561.58,12.5,100.0,1
2014-04,2014,4,Central,Furniture,Home Office,599.55,2,12.0,712.16,118.78,772.84,173.29,20.0,60.68,772.84,7.85,100.0,2
2014-04,2014,4,Central,Office Supplies,Consumer,48.17,1,12.0,40.39,83.85,60.21,12.04,20.0,19.82,60.21,32.91,100.0,1
2014-04,2014,4,Central,Office Supplies,Corporate,1110.61,5,41.0,879.45,79.19,1143.71,33.1,3.64,264.25,1143.71,23.1,80.0,4
2014-04,2014,4,Central,Office Supplies,Home Office,122.49,3,15.0,101.1,82.54,131.06,8.56,27.5,29.95,131.06,22.85,66.67,2
2014-04,2014,4,Central,Technology,Corporate,559.93,3,7.0,327.36,58.46,559.93,0.0,0.0,232.57,559.93,41.54,100.0,3
2014-04,2014,4,Central,Technology,Home Office,606.68,1,6.0,492.93,81.25,758.35,151.67,20.0,265.42,758.35,35.0,100.0,1
2014-04,2014,4,East,Furniture,Consumer,819.44,2,9.0,1384.83,169.0,1163.15,343.71,20.0,-221.68,1163.15,-19.06,50.0,1
2014-04,2014,4,East,Furniture,Corporate,177.68,1,2.0,131.48,74.0,177.68,0.0,0.0,46.2,177.68,26.0,100.0,1
2014-04,2014,4,East,Furniture,Home Office,248.67,3,7.0,337.47,135.71,330.5,81.82,20.0,-6.97,330.5,-2.11,66.67,2
2014-04,2014,4,East,Office Supplies,Consumer,172.87,3,20.0,113.89,65.88,183.75,10.88,10.0,69.88,183.75,38.03,100.0,3
2014-04,2014,4,East,Office Supplies,Corporate,892.45,9,73.0,1612.32,180.66,1361.31,468.86,25.63,-251.0,1361.31,-18.44,77.78,7
2014-04,2014,4,East,Office Supplies,Home Office,189.85,5,18.0,107.42,56.58,191.91,2.06,4.0,84.49,191.91,44.03,80.0,4
2014-04,2014,4,East,Technology,Consumer,1363.95,2,7.0,1568.75,115.02,1699.94,335.99,10.0,131.19,1699.94,7.72,100.0,2
2014-04,2014,4,East,Technology,Corporate,673.11,2,17.0,529.7,78.69,701.88,28.77,20.0,172.18,701.88,24.53,100.0,2
2014-04,2014,4,East,Technology,Home Office,694.36,3,9.0,505.59,72.81,717.71,23.36,6.67,212.13,717.71,29.56,100.0,3
2014-04,2014,4,South,Furniture,Consumer,51.96,1,2.0,38.97,75.0,51.96,0.0,0.0,12.99,51.96,25.0,100.0,1
2014-04,2014,4,South,Furniture,Corporate,262.22,1,3.0,326.65,124.57,308.5,46.27,15.0,-18.15,308.5,-5.88,0.0,0
2014-04,2014,4,South,Office Supplies,Consumer,188.68,2,11.0,132.67,70.31,188.68,0.0,0.0,56.01,188.68,29.69,100.0,2
2014-04,2014,4,South,Office Supplies,Corporate,927.67,4,21.0,913.41,98.46,931.29,3.62,4.0,17.87,931.29,1.92,75.0,3
2014-04,2014,4,South,Technology,Consumer,1049.93,1,7.0,755.95,72.0,1049.93,0.0,0.0,293.98,1049.93,28.0,100.0,1
2014-04,2014,4,South,Technology,Corporate,1433.05,2,23.0,1523.3,106.3,1735.75,302.69,10.0,212.45,1735.75,12.24,100.0,2
2014-04,2014,4,West,Furniture,Consumer,399.56,5,11.0,643.61,161.08,563.52,163.96,14.0,-80.09,563.52,-14.21,60.0,3
2014-04,2014,4,West,Furniture,Corporate,2178.76,4,23.0,1746.01,80.14,2224.82,46.06,4.0,478.82,2224.82,21.52,100.0,4
2014-04,2014,4,West,Furniture,Home Office,1492.88,1,10.0,1577.91,105.7,1790.29,297.41,10.0,212.39,1790.29,11.86,100.0,1
2014-04,2014,4,West,Office Supplies,Consumer,2197.83,10,74.0,1769.33,80.5,2238.42,40.59,6.32,469.09,2238.42,20.96,100.0,10
2014-04,2014,4,West,Office Supplies,Corporate,4349.49,5,39.0,4204.83,96.67,4362.39,12.91,6.67,157.56,4362.39,3.61,100.0,5
2014-04,2014,4,West,Office Supplies,Home Office,352.38,4,21.0,280.05,79.47,362.34,9.96,4.0,82.29,362.34,22.71,75.0,3
2014-04,2014,4,West,Technology,Consumer,1580.29,6,31.0,1505.18,95.25,1909.05,328.76,15.0,403.88,1909.05,21.16,100.0,6
2014-04,2014,4,West,Technology,Corporate,62.89,2,3.0,52.45,83.4,62.89,0.0,0.0,10.44,62.89,16.6,100.0,2
2014-05,2014,5,Central,Furniture,Consumer,1261.5,5,21.0,1291.86,102.41,1422.09,160.59,28.33,130.23,1422.09,9.16,60.0,3
2014-05,2014,5,Central,Office Supplies,Consumer,348.92,5,28.0,489.62,140.32,421.65,72.73,15.56,-67.97,421.65,-16.12,80.0,4
2014-05,2014,5,Central,Office Supplies,Corporate,158.71,1,18.0,107.91,67.99,158.71,0.0,0.0,50.79,158.71,32.0,100.0,1
2014-05,2014,5,Central,Office Supplies,Home Office,339.55,4,26.0,225.79,66.5,367.7,28.15,4.0,141.9,367.7,38.59,100.0,4
2014-05,2014,5,Central,Technology,Consumer,164.61,2,5.0,184.59,112.14,205.77,41.15,20.0,21.18,205.77,10.29,100.0,2
2014-05,2014,5,East,Furniture,Consumer,565.48,2,5.0,967.09,171.02,807.83,242.35,30.0,-159.26,807.83,-19.71,0.0,0
2014-05,2014,5,East,Furniture,Corporate,1682.5,6,41.0,2240.52,133.17,2221.91,539.4,21.67,-18.61,2221.91,-0.84,50.0,3
2014-05,2014,5,East,Office Supplies,Consumer,566.79,8,48.0,417.9,73.73,632.71,65.92,22.73,214.83,632.71,33.95,100.0,8
2014-05,2014,5,East,Office Supplies,Corporate,641.89,7,36.0,584.09,91.0,657.36,15.47,4.0,73.26,657.36,11.14,100.0,7
2014-05,2014,5,East,Office Supplies,Home Office,34.9,1,12.0,288.93,827.88,122.05,87.16,50.0,-166.88,122.05,-136.73,100.0,1
2014-05,2014,5,East,Technology,Consumer,1204.37,4,15.0,1717.54,142.61,1955.16,750.78,25.0,237.62,1955.16,12.15,75.0,3
2014-05,2014,5,East,Technology,Corporate,16.63,1,2.0,24.42,146.84,20.78,4.16,20.0,-3.64,20.78,-17.5,0.0,0
2014-05,2014,5,South,Furniture,Consumer,202.44,2,9.0,584.51,288.73,377.42,174.98,25.0,-207.09,377.42,-54.87,50.0,1
2014-05,2014,5,South,Furniture,Corporate,435.0,2,7.0,502.97,115.63,543.76,108.75,20.0,40.78,543.76,7.5,100.0,2
2014-05,2014,5,South,Office Supplies,Consumer,86.3,4,15.0,64.21,74.4,100.97,14.68,12.0,36.76,100.97,36.41,100.0,4
2014-05,2014,5,South,Office Supplies,Corporate,3048.51,3,18.0,1677.43,55.02,3062.67,14.17,8.0,1385.25,3062.67,45.23,100.0,3
2014-05,2014,5,South,Technology,Consumer,714.89,3,8.0,621.81,86.98,810.88,96.0,5.0,189.07,810.88,23.32,100.0,3
2014-05,2014,5,South,Technology,Corporate,1731.48,4,21.0,1436.42,82.96,1886.95,155.48,8.0,450.54,1886.95,23.88,100.0,4
2014-05,2014,5,West,Furniture,Consumer,843.9,5,12.0,1412.39,167.36,1249.11,405.22,30.0,-163.28,1249.11,-13.07,40.0,2
2014-05,2014,5,West,Furniture,Corporate,247.07,1,2.0,263.31,106.57,290.67,43.6,15.0,27.36,290.67,9.41,100.0,1
2014-05,2014,5,West,Office Supplies,Consumer,345.57,8,38.0,328.95,95.19,400.8,55.23,15.0,71.87,400.8,17.93,87.5,7
2014-05,2014,5,West,Office Supplies,Corporate,13.62,1,3.0,7.49,54.99,13.62,0.0,0.0,6.13,13.62,45.0,100.0,1
2014-05,2014,5,West,Office Supplies,Home Office,917.11,4,39.0,1196.11,130.42,1197.38,280.27,12.86,1.27,1197.38,0.11,100.0,4
2014-05,2014,5,West,Technology,Consumer,3613.74,5,33.0,4039.79,111.79,4434.76,821.02,10.0,394.96,4434.76,8.91,80.0,4
2014-05,2014,5,West,Technology,Corporate,228.46,1,4.0,233.92,102.39,285.57,57.11,20.0,51.65,285.57,18.09,100.0,1
2014-06,2014,6,Central,Furniture,Consumer,1406.65,5,25.0,1921.0,136.57,1756.94,350.29,32.4,-164.06,1756.94,-9.34,40.0,2
2014-06,2014,6,Central,Furniture,Corporate,358.27,1,5.0,436.64,121.87,447.84,89.57,20.0,11.2,447.84,2.5,100.0,1
2014-06,2014,6,Central,Furniture,Home Office,2001.86,1,7.0,1421.32,71.0,2001.86,0.0,0.0,580.54,2001.86,29.0,100.0,1
2014-06,2014,6,Central,Office Supplies,Consumer,574.54,4,32.0,815.32,141.91,715.36,140.83,25.0,-99.96,715.36,-13.97,100.0,4
2014-06,2014,6,Central,Office Supplies,Corporate,243.89,4,24.0,192.22,78.81,269.85,25.97,21.67,77.63,269.85,28.77,75.0,3
2014-06,2014,6,Central,Office Supplies,Home Office,1800.06,2,19.0,1233.85,68.54,1814.14,14.07,4.0,580.29,1814.14,31.99,100.0,2
2014-06,2014,6,Central,Technology,Consumer,524.39,2,9.0,825.52,157.42,760.18,235.8,26.67,-65.33,760.18,-8.59,100.0,2
2014-06,2014,6,Central,Technology,Home Office,57.58,1,3.0,60.98,105.9,71.98,14.4,20.0,11.0,71.98,15.28,100.0,1
2014-06,2014,6,East,Furniture,Consumer,2759.95,4,22.0,2691.15,97.51,3067.15,307.2,12.0,376.01,3067.15,12.26,75.0,3
2014-06,2014,6,East,Furniture,Corporate,37.4,1,2.0,23.19,62.01,37.4,0.0,0.0,14.21,37.4,38.0,100.0,1
2014-06,2014,6,East,Office Supplies,Consumer,1344.58,10,57.0,1128.52,83.93,1466.62,122.04,16.67,338.1,1466.62,23.05,80.0,8
2014-06,2014,6,East,Office Supplies,Corporate,111.72,2,13.0,65.83,58.92,111.72,0.0,0.0,45.89,111.72,41.08,100.0,2
2014-06,2014,6,East,Office Supplies,Home Office,427.85,3,21.0,306.64,71.67,451.14,23.29,10.0,144.5,451.14,32.03,100.0,3
2014-06,2014,6,East,Technology,Consumer,1026.67,5,16.0,845.73,82.38,1077.06,50.39,12.0,231.33,1077.06,21.48,80.0,4
2014-06,2014,6,South,Furniture,Consumer,963.94,2,6.0,1317.91,136.72,1332.48,368.54,15.0,14.56,1332.48,1.09,50.0,1
2014-06,2014,6,South,Furniture,Corporate,731.34,2,6.0,1498.59,204.91,1162.12,430.78,30.0,-336.47,1162.12,-28.95,50.0,1
2014-06,2014,6,South,Office Supplies,Consumer,357.47,3,25.0,336.6,94.16,457.37,99.91,28.57,120.78,457.37,26.41,100.0,3
2014-06,2014,6,South,Office Supplies,Corporate,628.33,2,16.0,362.44,57.68,658.23,29.91,6.67,295.79,658.23,44.94,100.0,2
2014-06,2014,6,South,Office Supplies,Home Office,15.28,1,2.0,7.79,50.98,15.28,0.0,0.0,7.49,15.28,49.0,100.0,1
2014-06,2014,6,South,Technology,Consumer,442.22,2,7.0,350.96,79.36,481.57,39.35,10.0,130.62,481.57,27.12,100.0,2
2014-06,2014,6,West,Furniture,Consumer,1802.63,6,34.0,2119.83,117.6,2216.23,413.6,8.89,96.39,2216.23,4.35,100.0,6
2014-06,2014,6,West,Furniture,Corporate,628.5,1,6.0,973.41,154.88,897.86,269.36,30.0,-75.55,897.86,-8.41,0.0,0
2014-06,2014,6,West,Furniture,Home Office,286.26,2,9.0,206.77,72.23,286.26,0.0,0.0,79.49,286.26,27.77,100.0,2
2014-06,2014,6,West,Office Supplies,Consumer,6005.14,15,90.0,5324.6,88.67,6811.57,806.43,18.52,1486.96,6811.57,21.83,93.33,14
2014-06,2014,6,West,Office Supplies,Corporate,98.88,3,20.0,107.39,108.61,121.93,23.05,30.0,14.53,121.93,11.91,66.67,2
2014-06,2014,6,West,Office Supplies,Home Office,47.85,1,3.0,40.37,84.37,59.81,11.96,20.0,19.44,59.81,32.5,100.0,1
2014-06,2014,6,West,Technology,Consumer,5253.41,6,37.0,4759.86,90.61,5781.22,527.8,16.25,1021.36,5781.22,17.67,100.0,6
2014-06,2014,6,West,Technology,Corporate,211.17,1,5.0,244.16,115.62,263.96,52.79,20.0,19.8,263.96,7.5,100.0,1
2014-07,2014,7,Central,Furniture,Consumer,176.43,2,12.0,152.92,86.67,201.06,24.63,10.0,48.14,201.06,23.94,100.0,2
2014-07,2014,7,Central,Furniture,Corporate,1165.24,2,17.0,924.56,79.35,1211.79,46.55,10.0,287.22,1211.79,23.7,100.0,2
2014-07,2014,7,Central,Office Supplies,Consumer,8269.79,4,17.0,7922.41,95.8,8276.91,7.11,12.0,354.5,8276.91,4.28,100.0,4
2014-07,2014,7,Central,Office Supplies,Corporate,254.67,5,28.0,163.78,64.31,266.4,11.72,18.33,102.63,266.4,38.53,80.0,4
2014-07,2014,7,Central,Office Supplies,Home Office,172.76,3,18.0,203.75,117.94,232.89,60.14,25.0,29.14,232.89,12.51,66.67,2
2014-07,2014,7,Central,Technology,Consumer,908.76,2,5.0,917.76,100.99,1135.96,227.19,20.0,218.2,1135.96,19.21,100.0,2
2014-07,2014,7,Central,Technology,Corporate,968.67,2,15.0,989.47,102.15,1150.1,181.43,10.0,160.63,1150.1,13.97,100.0,2
2014-07,2014,7,Central,Technology,Home Office,30.62,1,4.0,34.44,112.48,38.27,7.65,20.0,3.83,38.27,10.0,100.0,1
2014-07,2014,7,East,Furniture,Consumer,223.09,3,13.0,213.68,95.78,255.46,32.37,10.0,41.77,255.46,16.35,100.0,3
2014-07,2014,7,East,Furniture,Corporate,911.93,3,9.0,1416.93,155.38,1230.98,319.04,26.67,-185.96,1230.98,-15.11,0.0,0
2014-07,2014,7,East,Office Supplies,Consumer,410.33,7,41.0,366.17,89.24,461.32,51.01,11.11,95.17,461.32,20.63,85.71,6
2014-07,2014,7,East,Office Supplies,Corporate,840.4,6,35.0,630.89,75.07,907.1,66.7,20.0,276.23,907.1,30.45,100.0,6
2014-07,2014,7,East,Office Supplies,Home Office,19.68,1,6.0,13.19,67.02,19.68,0.0,0.0,6.49,19.68,33.0,100.0,1
2014-07,2014,7,East,Technology,Consumer,182.47,2,5.0,156.11,85.55,197.46,14.99,26.67,41.35,197.46,20.94,50.0,1
2014-07,2014,7,East,Technology,Corporate,516.82,4,14.0,372.12,72.0,516.82,0.0,0.0,144.7,516.82,28.0,100.0,4
2014-07,2014,7,South,Furniture,Consumer,717.46,2,9.0,824.7,114.95,905.57,188.11,33.33,80.88,905.57,8.93,50.0,1
2014-07,2014,7,South,Furniture,Home Office,693.66,1,7.0,1152.54,166.15,998.11,304.46,45.0,-154.43,998.11,-15.47,0.0,0
2014-07,2014,7,South,Office Supplies,Consumer,1283.81,6,70.0,6847.29,533.36,3172.31,1888.51,28.57,-3674.98,3172.31,-115.85,66.67,4
2014-07,2014,7,South,Office Supplies,Corporate,253.26,4,26.0,200.41,79.13,298.87,45.62,22.0,98.47,298.87,32.95,75.0,3
2014-07,2014,7,South,Office Supplies,Home Office,313.77,2,4.0,332.72,106.04,382.34,68.57,10.0,49.63,382.34,12.98,100.0,2
2014-07,2014,7,South,Technology,Consumer,824.88,2,12.0,774.86,93.94,911.11,86.23,10.0,136.24,911.11,14.95,50.0,1
2014-07,2014,7,South,Technology,Corporate,460.74,1,2.0,503.93,109.37,575.92,115.18,20.0,71.99,575.92,12.5,100.0,1
2014-07,2014,7,West,Furniture,Consumer,949.74,4,20.0,1238.38,130.39,1156.46,206.72,13.33,-81.93,1156.46,-7.08,100.0,4
2014-07,2014,7,West,Furniture,Corporate,3067.02,4,17.0,3167.62,103.28,3491.82,424.8,16.0,324.2,3491.82,9.28,75.0,3
2014-07,2014,7,West,Furniture,Home Office,1050.6,4,10.0,1355.46,129.02,1369.81,319.21,21.25,14.34,1369.81,1.05,50.0,2
2014-07,2014,7,West,Office Supplies,Consumer,249.57,6,32.0,248.74,99.67,301.57,52.0,24.0,52.84,301.57,17.52,83.33,5
2014-07,2014,7,West,Office Supplies,Corporate,381.65,3,9.0,354.61,92.91,383.19,1.54,6.67,28.59,383.19,7.46,66.67,2
2014-07,2014,7,West,Office Supplies,Home Office,397.8,5,47.0,319.35,80.28,418.62,20.82,10.91,99.29,418.62,23.72,100.0,5
2014-07,2014,7,West,Technology,Consumer,2734.8,8,38.0,2762.01,100.99,3222.56,487.76,8.0,460.56,3222.56,14.29,100.0,8
2014-07,2014,7,West,Technology,Home Office,204.75,1,8.0,227.14,110.94,255.94,51.19,20.0,28.79,255.94,11.25,100.0,1
